,question,context,context_len,options,answer,answer_idx,explanation,facts,patient,specialty
42,"Laboratory studies show: | Hemoglobin 9 g/dL | Leukocyte count 1,500/mm3 | Percent segmented neutrophils 50% | Platelet count 85,000/mm3 | To reduce the likelihood of complications, it is most appropriate to administer which of the following?","['Seven days after initiation of induction chemotherapy for acute myeloid leukemia, a 56-year-old man develops leukopenia.', 'He feels well.', 'He has no history of serious cardiopulmonary disease.', 'His temperature is 36.7°C (98.1°F), blood pressure is 110/65 mm Hg, pulse is 72/min, and respiratory rate is 14/min.', 'Examination of the skin, head and neck, heart, lungs, abdomen, and perirectal area reveals no abnormalities.']",5,"{'A': 'Ciprofloxacin', 'B': 'Granulocyte colony-stimulating factor', 'C': 'Vancomycin', 'D': 'No pharmaco-prophylaxis at this time'}",Ciprofloxacin,A,,"['1. A 56-year-old man developed leukopenia seven days after initiation of induction chemotherapy for acute myeloid leukemia.', '2. He feels well.', '3. He has no history of serious cardiopulmonary disease.', '4. His temperature is 36.7°C (98.1°F).', '5. His blood pressure is 110/65 mm Hg.', '6. His pulse is 72/min.', '7. His respiratory rate is 14/min.', '8. Examination of the skin, head and neck, heart, lungs, abdomen, and perirectal area reveals no abnormalities.']","{'gender': 'Male', 'age': '56 years old', 'specialties': ['Internal Medicine'], 'subspecialties': ['Hematology'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Internal Medicine'}",Internal Medicine
44,Where was the thoracentesis needle most likely placed?,"['A 78-year-old woman with a history of breast cancer, status-post bilateral mastectomy, presents to the emergency department with progressive difficulty breathing, worsening fatigue, and 5 pounds of unintended weight loss over the past month.', 'A portable chest x-ray reveals a massive right pleural effusion.', 'The ED resident performs thoracentesis with chest tube placement and admits her to the floor.', 'Overnight, the patient requests multiple pain medications for right upper abdominal pain and is found to have increasingly sanguinous drainage.']",4,"{'A': 'Lower border of the 10th rib at the right midaxillary line', 'B': 'Lower border of the 9th rib at the right midaxillary line', 'C': 'Upper border of the 7th rib at the right midclavicular line', 'D': 'Upper border of the 10th rib at the right midaxillary line'}",Lower border of the 10th rib at the right midaxillary line,A,,"['1. A 78-year-old woman presents to the emergency department.', '2. She has a history of breast cancer and a bilateral mastectomy.', '3. She has progressive difficulty breathing and worsening fatigue.', '4. She has lost 5 pounds in the past month.', '5. A portable chest x-ray reveals a massive right pleural effusion.', '6. The ED resident performs thoracentesis with chest tube placement.', '7. The patient is admitted to the floor.', '8. The patient requests multiple pain medications for right upper abdominal pain.', '9. The patient has increasingly sanguinous drainage.']","{'gender': 'Female', 'age': '78', 'specialties': ['Internal Medicine'], 'subspecialties': ['Pulmonary Disease'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Radiology'}",Internal Medicine
45,Which of the following statements best describes the effects of molecule A on Vmax and Km on the metabolic reactions of the novel drug?,"['While studying the metabolism of a novel drug, the researcher identifies a molecule that inhibits its metabolism by binding with enzyme E.', 'Molecule A inhibits the enzyme E by reversibly binding at the same active site on the enzyme where the drug binds.']",2,"{'A': 'Value of Vmax is unchanged but value of Km is increased', 'B': 'Value of Vmax is decreased but value of Km is unchanged', 'C': 'Values of both Vmax and Km are unchanged', 'D': 'Value of Vmax is unchanged but value of Km is decreased'}",Value of Vmax is unchanged but value of Km is increased,A,,"['1. The researcher is studying the metabolism of a novel drug.', '2. The researcher identifies a molecule, A.', '3. Molecule A inhibits enzyme E.', '4. Molecule A binds reversibly at the same active site on the enzyme where the drug binds.']","{'gender': 'study', 'age': 'study', 'specialties': ['Internal Medicine', 'Clinical Biochemical Genetics'], 'subspecialties': ['Clinical Pharmacology', 'Clinical Pharmacology and Therapeutics', 'Clinical Pharmacology and Toxicology', 'General Medical Genetics and Genomics'], 'specialty_prob': [0.8, 0.2], 'subspecialty_prob': [0.4, 0.2, 0.2, 0.2], 'gpt_specialty': 'Medical Genetics and Genomics'}",Internal Medicine
46,Inhibition of which of the following hormones would be most beneficial for this patient?,"['A 70-year-old man presents to a physician’s office with shortness of breath for 1 month.', 'He is “easily winded” and is unable to keep up with his grandchildren when playing in the park.', 'Over the last few weeks, he had to increase the number of pillows under his head to sleep comfortably.', 'He denies a cough and fever.', 'The medical history includes hypercholesterolemia and hypertension.', 'His current medications are aspirin, carvedilol, and rosuvastatin.', 'The vital signs are as follows: blood pressure 150/90 mm Hg, pulse 90/min, and respiratory rate 14/min.', 'The physical examination reveals distended jugular veins, bilateral pitting edema of the lower limbs, and fine crackles at the base of the lungs.', 'An echocardiogram reveals an ejection fraction of 40%.']",9,"{'A': 'Angiotensin II', 'B': 'Prostaglandin E1', 'C': 'Aldosterone', 'D': 'Epinephrine'}",Angiotensin II,A,,"['1. Patient is 70 years old.', '2. Patient has shortness of breath for 1 month.', '3. Patient is ""easily winded"" and cannot keep up with grandchildren when playing in the park.', '4. Patient has had to increase number of pillows under head to sleep comfortably.', '5. Patient denies cough and fever.', '6. Patient has medical history of hypercholesterolemia and hypertension.', '7. Patient is taking aspirin, carvedilol, and rosuvastatin.', '8. Blood pressure is 150/90 mm Hg.', '9. Pulse is 90/min.', '10. Respiratory rate is 14/min.', '11. Physical examination reveals distended jugular veins, bilateral pitting edema of lower limbs, and fine crackles at base of lungs.', '12. Echocardiogram reveals ejection fraction of 40%.']","{'gender': 'Male', 'age': '70', 'specialties': ['Internal Medicine'], 'subspecialties': ['Pulmonary Disease'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Internal Medicine'}",Internal Medicine
49,What is the standard deviation for the systolic blood pressure readings?,"['A 43-year-old man presents to a medical office for follow-up of hypertension.', 'He was recently diagnosed and has been managing his condition with diet modification and moderate-intensity exercise.', 'Today, he brings a list of his recent at-home morning blood pressure readings.', 'The systolic blood pressure readings over the last 5 days are as follows: | Day 1: 130 mm Hg | Day 2: 132 mm Hg | Day 3: 128 mm Hg | Day 4: 132 mm Hg | Day 5: 128 mm Hg | .']",4,"{'A': '1 mm Hg', 'B': '1.5 mm Hg', 'C': '2 mm Hg', 'D': '2.5 mm Hg'}",2 mm Hg,C,,"['1. A 43-year-old man presents to a medical office for follow-up of hypertension.', '2. He was recently diagnosed and has been managing his condition with diet modification and moderate-intensity exercise.', '3. Today, he brings a list of his recent at-home morning blood pressure readings.', '4. The systolic blood pressure reading on Day 1 was 130 mm Hg.', '5. The systolic blood pressure reading on Day 2 was 132 mm Hg.', '6. The systolic blood pressure reading on Day 3 was 128 mm Hg.', '7. The systolic blood pressure reading on Day 4 was 132 mm Hg.', '8. The systolic blood pressure reading on Day 5 was 128 mm Hg.']","{'gender': 'Male', 'age': '43', 'specialties': ['Internal Medicine', 'Family Medicine'], 'subspecialties': ['General Internal Medicine', 'General Family Medicine'], 'specialty_prob': [0.8, 0.2], 'subspecialty_prob': [0.8, 0.2], 'gpt_specialty': 'Internal Medicine'}",Internal Medicine
51,Which of the following is the most likely diagnosis?,"['A 55-year-old African American man presents to the emergency department with central chest pressure.', 'His symptoms started 1 day before.', 'The pain was initially intermittent in nature but has become constant and radiates to his jaw and left shoulder.', 'He also complains of some difficulty breathing.', 'The patient was diagnosed with essential hypertension 1 year ago, but he is not taking any medications for it.', 'The patient denies smoking, alcohol, or drug use.', 'Family history is unremarkable.', 'His blood pressure is 230/130 mm Hg in both arms, the temperature is 36.9°C (98.4°F), and the pulse is 90/min.', 'ECG shows diffuse T wave inversion and ST depression in lateral leads.', 'Laboratory testing is significant for elevated troponin.']",10,"{'A': 'Hypertensive urgency', 'B': 'Hypertensive emergency', 'C': 'Aortic aneurysm', 'D': 'Malignant hypertension'}",Hypertensive emergency,B,,"['1. A 55-year-old African American man presents to the emergency department with central chest pressure.', '2. His symptoms started 1 day before.', '3. The pain was initially intermittent in nature but has become constant and radiates to his jaw and left shoulder.', '4. He also complains of some difficulty breathing.', '5. The patient was diagnosed with essential hypertension 1 year ago, but he is not taking any medications for it.', '6. The patient denies smoking, alcohol, or drug use.', '7. Family history is unremarkable.', '8. His blood pressure is 230/130 mm Hg in both arms.', '9. The temperature is 36.9°C (98.4°F).', '10. The pulse is 90/min.', '11. ECG shows diffuse T wave inversion and ST depression in lateral leads.', '12. Laboratory testing is significant for elevated troponin.']","{'gender': 'Male', 'age': '55', 'specialties': ['Internal Medicine', 'Emergency Medicine'], 'subspecialties': ['Cardiovascular Disease', 'General Emergency Medicine'], 'specialty_prob': [0.8, 0.2], 'subspecialty_prob': [0.8, 0.2], 'gpt_specialty': 'Emergency Medicine'}",Internal Medicine
53,Infection with which of the following organisms would portend the worst prognosis with the highest mortality rate for this patient?,"['A 32-year-old G2P1 at 32 weeks gestation presents to the emergency department with complaints of severe abdominal pain, fatigue, and nausea.', 'Physical examination is significant for profound jaundice and tenderness to palpation of the right upper quadrant of the abdomen.', 'The patient returned 2 weeks ago from a 1 month-long trip to India.', 'She received sporadic pre-natal care while traveling and reports no known complications in her current pregnancy to date.', 'She denies any past medical problems and states that her prior pregnancy proceeded as a normal vaginal birth without any complications.']",5,"{'A': 'Hepatitis A', 'B': 'Hepatitis B', 'C': 'Hepatitis D', 'D': 'Hepatitis E'}",Hepatitis E,D,,"['1. Patient is 32 years old.', '2. Patient is G2P1.', '3. Patient is 32 weeks gestation.', '4. Patient presents to emergency department with severe abdominal pain, fatigue, and nausea.', '5. Physical examination is significant for profound jaundice.', '6. Physical examination is significant for tenderness to palpation of right upper quadrant of abdomen.', '7. Patient returned 2 weeks ago from 1 month-long trip to India.', '8. Patient received sporadic pre-natal care while traveling.', '9. Patient reports no known complications in current pregnancy to date.', '10. Patient denies any past medical problems.', '11. Patient states prior pregnancy proceeded as normal vaginal birth without any complications.']","{'gender': 'Female', 'age': '32 years old', 'specialties': ['Internal Medicine', 'Obstetrics and Gynecology'], 'subspecialties': ['Infectious Disease', 'Gastroenterology', 'Maternal'], 'specialty_prob': [0.8, 0.2], 'subspecialty_prob': [0.4, 0.4, 0.2], 'gpt_specialty': 'Obstetrics and Gynecology'}",Internal Medicine
54,Which of the following statements is correct regarding this study result?,"['A group of researchers is conducting a prospective study to examine if dietary fiber intake is protective against coronary heart disease.', 'Specifically, they are looking at the frequency of coronary heart incidents in a group of middle-aged men taking various daily amounts of water-insoluble fiber.', 'The Pearson correlation coefficient that was obtained regarding the relationship between the amount of daily water-insoluble fiber intake and the frequency of coronary heart incidents in their study was 0.11 with a p-value of 0.006.']",3,"{'A': 'There is a significant correlation between the daily fiber intake and the frequency of coronary heart incidents because the correlation coefficient is significant.', 'B': 'There is a significant correlation between fiber intake and the frequency of coronary heart incidents because the correlation coefficient is not significant.', 'C': 'There is a significant correlation between fiber intake and the frequency of coronary heart incidents because the value of the correlation coefficient shows a very good and robust correlation.', 'D': 'There is no correlation between fiber intake and the frequency of coronary heart incidents because the correlation coefficient is significant.'}",There is no correlation between fiber intake and the frequency of coronary heart incidents because the correlation coefficient is significant.,D,,"['1. A group of researchers is conducting a prospective study.', '2. The study is examining if dietary fiber intake is protective against coronary heart disease.', '3. The study is looking at the frequency of coronary heart incidents in a group of middle-aged men.', '4. The men are taking various daily amounts of water-insoluble fiber.', '5. The Pearson correlation coefficient obtained regarding the relationship between the amount of daily water-insoluble fiber intake and the frequency of coronary heart incidents was 0.11.', '6. The p-value of the Pearson correlation coefficient was 0.006.']","{'gender': 'study', 'age': 'study', 'specialties': ['Internal Medicine'], 'subspecialties': ['Cardiovascular Disease'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Preventive Medicine'}",Internal Medicine
56,Which of the following serum markers is most likely elevated in this patient?,"['A 62-year-old man presents to his primary care provider complaining of abdominal pain.', 'He reports a 6-month history of gradually progressive epigastric pain and 10 pounds of unexpected weight loss.', 'He has also noticed that his skin feels itchier than usual.', 'His past medical history is notable for gout, hypertension, and diabetes mellitus.', 'He takes allopurinol, enalapril, and glyburide.', 'He has a 10-pack-year smoking history and a distant history of cocaine abuse.', 'His temperature is 100.1°F (37.8°C), blood pressure is 135/85 mmHg, pulse is 100/min, and respirations are 20/min.', 'On exam, he has notable hepatomegaly and a palpable gallbladder.', 'A right upper quadrant ultrasound reveals an irregular extrahepatic mass originating from the gallbladder wall.']",9,"{'A': 'Bombesin', 'B': 'CA-125', 'C': 'CA 19-9', 'D': 'S-100'}",CA 19-9,C,,"['1. A 62-year-old man presents to his primary care provider complaining of abdominal pain.', '2. He reports a 6-month history of gradually progressive epigastric pain.', '3. He has also noticed 10 pounds of unexpected weight loss.', '4. His past medical history is notable for gout, hypertension, and diabetes mellitus.', '5. He takes allopurinol, enalapril, and glyburide.', '6. He has a 10-pack-year smoking history.', '7. He has a distant history of cocaine abuse.', '8. His temperature is 100.1°F (37.8°C).', '9. His blood pressure is 135/85 mmHg.', '10. His pulse is 100/min.', '11. His respirations are 20/min.', '12. On exam, he has notable hepatomegaly.', '13. On exam, he has a palpable gallbladder.', '14. A right upper quadrant ultrasound reveals an irregular extrahepatic mass originating from the gallbladder wall.']","{'gender': 'Male', 'age': '62', 'specialties': ['Internal Medicine', 'Gastroenterology'], 'subspecialties': ['Gastroenterology', 'General Gastroenterology'], 'specialty_prob': [0.6, 0.4], 'subspecialty_prob': [0.6, 0.4], 'gpt_specialty': 'Surgery'}",Internal Medicine
60,"Which of the following is the most appropriate next step in management?""","['A 43-year-old woman is brought to the emergency department because of severe central chest pain, mild shortness of breath, and one episode of coughing up blood since waking up that morning.', 'The pain worsens on inspiration, and she describes it as 8 out of 10 in intensity.', 'Three months ago, she underwent a left modified radical mastectomy for invasive ductal carcinoma.', 'Her temperature is 37.8°C (100°F), pulse is 103/min, respirations are 20/min, and blood pressure is 102/74 mm Hg.', 'Pulse oximetry on room air shows an oxygen saturation of 93%.', 'The lungs are clear to auscultation.', 'Cardiac examination shows no abnormalities.', 'The left lower extremity is swollen and erythematous.', 'Laboratory studies show a normal complete blood count, creatinine of 1.0 mg/dL, and a creatinine clearance of 81 mL/min (N = 75–115).', 'Arterial blood gas analysis on room air shows: | pH 7.49 | PCO2 29 mm Hg | PO2 69 mm Hg | HCO3- 22 mEq/L | An x-ray of the chest shows no abnormalities.']",10,"{'A': 'CT pulmonary angiography', 'B': 'D-dimer levels', 'C': 'Catheter embolectomy', 'D': 'Low molecular weight heparin therapy'}",Low molecular weight heparin therapy,D,,"['1. A 43-year-old woman is brought to the emergency department.', '2. She has severe central chest pain, mild shortness of breath, and one episode of coughing up blood since waking up that morning.', '3. The pain worsens on inspiration and is 8 out of 10 in intensity.', '4. Three months ago, she underwent a left modified radical mastectomy for invasive ductal carcinoma.', '5. Her temperature is 37.8°C (100°F).', '6. Her pulse is 103/min.', '7. Her respirations are 20/min.', '8. Her blood pressure is 102/74 mm Hg.', '9. Pulse oximetry on room air shows an oxygen saturation of 93%.', '10. The lungs are clear to auscultation.', '11. Cardiac examination shows no abnormalities.', '12. The left lower extremity is swollen and erythematous.', '13. Laboratory studies show a normal complete blood count.', '14. Creatinine is 1.0 mg/dL.', '15. Creatinine clearance is 81 mL/min (N = 75–115).', '16. Arterial blood gas analysis on room air shows: pH 7.49, PCO2 29 mm Hg, PO2 69 mm Hg, HCO3- 22 mEq/L.', '17. An x-ray of the chest shows no abnormalities.']","{'gender': 'Female', 'age': '43 years old', 'specialties': ['Internal Medicine'], 'subspecialties': ['Pulmonary Disease'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Emergency Medicine'}",Internal Medicine
62,Which of the following mechanisms most likely contributes to the efficacy of this patient's pharmacotherapy?,"['A 35-year-old woman that is currently being treated for chronic hepatitis C comes to the physician because of progressive fatigue for 10 days.', 'Examination shows pale conjunctivae.', 'Her hemoglobin concentration is 10.1 g/dL, serum total bilirubin concentration is 1.9 mg/dL, and LDH is 259 U/L (N = 45–90 U/L).']",3,"{'A': 'Activation of leukocytes', 'B': 'Inhibition of reverse transcriptase', 'C': 'Inhibition of RNA polymerase', 'D': 'Decreased GMP synthesis'}",Decreased GMP synthesis,D,,"['1. A 35-year-old woman is being treated for chronic hepatitis C.', '2. She comes to the physician because of progressive fatigue for 10 days.', '3. Examination shows pale conjunctivae.', '4. Her hemoglobin concentration is 10.1 g/dL.', '5. Her serum total bilirubin concentration is 1.9 mg/dL.', '6. Her LDH is 259 U/L.', '7. The normal range for LDH is 45–90 U/L.']","{'gender': 'Female', 'age': '35 years old', 'specialties': ['Internal Medicine'], 'subspecialties': ['Infectious Disease'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Internal Medicine'}",Internal Medicine
63,What is the best initial step in management?,"['A 25-year-old woman presents to the urgent care clinic for cough for the past five days.', 'She recently moved to the area and has not yet established a primary care doctor.', 'She has noticed worsening runny nose with congestion, sneezing, and tearing over the past few days.', 'She initially thought that it was just due to dust from moving boxes into her new apartment, but her symptoms did not improve after cleaning her belongings and vacuuming her floor.', 'She feels some relief after splashing her face with cold water, but her symptoms recur within ten minutes.', 'She has no pets and does not take any medications.', 'Her physical exam reveals examples of findings shown in Figures A-C.', 'No rales or wheezes are appreciated on lung auscultation, but bronchial breath sounds are heard at the bases.', 'The patient states that she will need to drive back home after this visit.']",9,"{'A': 'Oral loratadine', 'B': 'Intranasal corticosteroids', 'C': 'Sublingual oseltamivir', 'D': 'Oral montelukast'}",Intranasal corticosteroids,B,,"['1. A 25-year-old woman presents to the urgent care clinic for cough for the past five days.', '2. She recently moved to the area and has not yet established a primary care doctor.', '3. She has noticed worsening runny nose with congestion, sneezing, and tearing over the past few days.', '4. She initially thought that it was just due to dust from moving boxes into her new apartment.', '5. Her symptoms did not improve after cleaning her belongings and vacuuming her floor.', '6. She feels some relief after splashing her face with cold water.', '7. Her symptoms recur within ten minutes.', '8. She has no pets.', '9. She does not take any medications.', '10. Her physical exam reveals examples of findings shown in Figures A-C.', '11. No rales or wheezes are appreciated on lung auscultation.', '12. Bronchial breath sounds are heard at the bases.', '13. The patient states that she will need to drive back home after this visit.']","{'gender': 'Female', 'age': '25 years old', 'specialties': ['Internal Medicine', 'Pediatrics'], 'subspecialties': ['Pulmonary Disease', 'General Pediatrics', 'Infectious Disease', 'Pediatric Pulmonology'], 'specialty_prob': [0.6, 0.4], 'subspecialty_prob': [0.4, 0.2, 0.2, 0.2], 'gpt_specialty': 'Internal Medicine'}",Internal Medicine
64,What is her CHADS2 score?,"['A 73-year-old woman with atrial fibrillation presents to your clinic to discuss the need for anticoagulation.', 'Her PMH is significant for high blood pressure, diabetes mellitus type II, osteoporosis, and depression.', 'She previously smoked but quit about 16 years ago.', 'She has never had a stroke or TIA.', 'Her physical examination is remarkable for an irregular heart rate.', 'She has a blood pressure of 136/94 mm Hg and a heart rate of 74/min.']",6,"{'A': '1', 'B': '2', 'C': '4', 'D': 'Too little information to tell'}",2,B,,"['1. A 73-year-old woman presents to clinic to discuss need for anticoagulation.', ""2. Patient's past medical history (PMH) is significant for high blood pressure, diabetes mellitus type II, osteoporosis, and depression."", '3. Patient previously smoked but quit about 16 years ago.', '4. Patient has never had a stroke or TIA.', ""5. Patient's physical examination is remarkable for an irregular heart rate."", ""6. Patient's blood pressure is 136/94 mm Hg."", ""7. Patient's heart rate is 74/min.""]","{'gender': 'Female', 'age': '73', 'specialties': ['Internal Medicine'], 'subspecialties': ['Cardiovascular Disease'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Internal Medicine'}",Internal Medicine
66,This patient is most likely deficient in a vitamin that has which of the following functions?,"['A 42-year-old woman presents to her primary care physician for fatigue and blurry vision.', 'She is a refugee from Syria who arrived in the United States 1 week ago.', 'She has lived for the last 8 months in a refugee camp.', 'She worked at a grocery store in Syria before being displaced from her home.', 'She has one son who is 9 years old and was seen by a pediatrician the day prior.', 'She reports that while she was in the refugee camp, she ate very little and gave most of her food to her son to ensure that he stayed healthy.', 'She denies any past medical history and takes no medications.', 'She does not smoke or drink alcohol.', 'Her temperature is 97.8°F (36.6°C), blood pressure is 108/68 mmHg, pulse is 102/min, and respirations are 18/min.', 'On exam, she appears fatigued but is fully cooperative with the examination.', 'There are fissures at the corners of her mouth.', 'A funduscopic examination reveals corneal vascularization in both eyes.', 'Her tongue is darkly erythematous.']",13,"{'A': 'Cofactor for homocysteine methyltransferase', 'B': 'Cofactor for pyruvate dehydrogenase enzyme', 'C': 'Precursor to FAD and FMN', 'D': 'Constituent of NAD+ and NADP+'}",Precursor to FAD and FMN,C,,"['1. Patient is a 42-year-old woman.', '2. Patient presents with fatigue and blurry vision.', '3. Patient is a refugee from Syria.', '4. Patient arrived in the United States 1 week ago.', '5. Patient lived in a refugee camp for 8 months.', '6. Patient worked at a grocery store in Syria before being displaced from her home.', '7. Patient has one son who is 9 years old.', ""8. Patient's son was seen by a pediatrician the day prior."", '9. Patient ate very little and gave most of her food to her son while in the refugee camp.', '10. Patient denies any past medical history and takes no medications.', '11. Patient does not smoke or drink alcohol.', ""12. Patient's temperature is 97.8°F (36.6°C)."", ""13. Patient's blood pressure is 108/68 mmHg."", ""14. Patient's pulse is 102/min."", ""15. Patient's respirations are 18/min."", '16. Patient appears fatigued but is fully cooperative with the examination.', '17. Patient has fissures at the corners of her mouth.', '18. Funduscopic examination reveals corneal vascularization in both eyes.', ""19. Patient's tongue is darkly erythematous.""]","{'gender': 'Female', 'age': '42', 'specialties': ['Internal Medicine'], 'subspecialties': ['Endocrinology, Diabetes, and Metabolism'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Internal Medicine'}",Internal Medicine
67,Which of the following statements describing the patient’s current state is most accurate?,"['A 70-year-old man was first evaluated for an enlarging neck mass with complaints of night sweats, fever, and weight loss.', 'Excisional biopsy confirms the diagnosis of Burkitt lymphoma.', 'The patient is started on a CODOX-M/IVAC chemotherapy regime.', 'The physician notes a marked improvement, but is concerned about a common complication of chemotherapy.', 'The patient is prescribed rasburicase in response to this complication.']",5,"{'A': 'Rasburicase is a xanthine oxidase inhibitor', 'B': 'This complication only occurs in response to radiation', 'C': 'Rasburicase converts uric acid to allantoin, increasing its secretion', 'D': 'Hypophosphatemia is expected to develop in this patient'}","Rasburicase converts uric acid to allantoin, increasing its secretion",C,,"['1. A 70-year-old man was first evaluated for an enlarging neck mass.', '2. The man had complaints of night sweats, fever, and weight loss.', '3. Excisional biopsy confirmed the diagnosis of Burkitt lymphoma.', '4. The patient was started on a CODOX-M/IVAC chemotherapy regime.', '5. The physician noted a marked improvement.', '6. The physician was concerned about a common complication of chemotherapy.', '7. The patient was prescribed rasburicase in response to this complication.']","{'gender': 'Male', 'age': '70 years old', 'specialties': ['Internal Medicine'], 'subspecialties': ['Hematology'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Surgery'}",Internal Medicine
68,"Which of the following is the most likely underlying cause of this patient's symptoms?""","['A 68-year-old woman comes to the physician with increasing fatigue and shortness of breath for 2 weeks.', 'She has only passed very small amounts of urine over the past few days.', 'During this time, she has also noticed that her feet appear unusually puffy for a few hours every morning.', 'Three weeks ago, she had a sore throat that resolved spontaneously after several days without antibiotic therapy.', 'She has a 6-month history of lower back and thoracic pain, for which she takes ibuprofen daily.', 'Her only other medication is a laxative for constipation, which she first experienced 8 months ago.', 'Her sister has systemic lupus erythematosus.', 'Her temperature is 37.9°C (98.9°F), pulse is 110/min, respirations are 22/min, and blood pressure is 150/100 mm Hg.', 'Examination shows pedal edema and conjunctival pallor.', 'There is tenderness to palpation over the lumbar spine and the 8th rib on the right.', 'Cardiac examination shows no abnormalities.', 'Laboratory studies show: | Hemoglobin 9.8 mg/dL | Serum | Urea nitrogen 50 mg/dL | Creatinine 2.8 mg/dL | Calcium 12.9 mg/dL | Urine | Protein negative | Blood negative | .']",12,"{'A': 'Renal deposition of AL amyloid', 'B': 'Immunoglobulin light chains', 'C': 'Decreased cardiac ejection fraction', 'D': 'Anti-streptococcal antibodies'}",Immunoglobulin light chains,B,,"['1. A 68-year-old woman comes to the physician with increasing fatigue and shortness of breath for 2 weeks.', '2. She has only passed very small amounts of urine over the past few days.', '3. During this time, she has also noticed that her feet appear unusually puffy for a few hours every morning.', '4. Three weeks ago, she had a sore throat that resolved spontaneously after several days without antibiotic therapy.', '5. She has a 6-month history of lower back and thoracic pain, for which she takes ibuprofen daily.', '6. Her only other medication is a laxative for constipation, which she first experienced 8 months ago.', '7. Her sister has systemic lupus erythematosus.', '8. Her temperature is 37.9°C (98.9°F), pulse is 110/min, respirations are 22/min, and blood pressure is 150/100 mm Hg.', '9. Examination shows pedal edema and conjunctival pallor.', '10. There is tenderness to palpation over the lumbar spine and the 8th rib on the right.', '11. Cardiac examination shows no abnormalities.', '12. Laboratory studies show: Hemoglobin 9.8 mg/dL.', '13. Serum Urea nitrogen 50 mg/dL.', '14. Creatinine 2.8 mg/dL.', '15. Calcium 12.9 mg/dL.', '16. Urine Protein negative.', '17. Urine Blood negative.']","{'gender': 'Female', 'age': '68 years old', 'specialties': ['Internal Medicine'], 'subspecialties': ['Hematology'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Internal Medicine'}",Internal Medicine
74,Which of the following is the most likely diagnosis?,"['Shortly after undergoing a bipolar prosthesis for a displaced femoral neck fracture of the left hip acquired after a fall the day before, an 80-year-old woman suddenly develops dyspnea.', 'The surgery under general anesthesia with sevoflurane was uneventful, lasting 98 minutes, during which the patient maintained oxygen saturation readings of 96–100% on 8 L of oxygen.', 'She has a history of hypertension, osteoporosis, and osteoarthritis of her right knee.', 'Her medications include ramipril, naproxen, ranitidine, and a multivitamin.', 'She appears cyanotic, drowsy, and is oriented only to person.', 'Her temperature is 38.6°C (101.5°F), pulse is 135/minute, respirations are 36/min, and blood pressure is 155/95 mm Hg.', 'Pulse oximetry on room air shows an oxygen saturation of 81%.', 'There are several scattered petechiae on the anterior chest wall.', 'Laboratory studies show a hemoglobin concentration of 10.5 g/dL, a leukocyte count of 9,000/mm3, a platelet count of 145,000/mm3, and a creatine kinase of 190 U/L.', 'An ECG shows sinus tachycardia.']",10,"{'A': 'Fat embolism', 'B': 'Thyrotoxic crisis', 'C': 'Malignant hyperthermia', 'D': 'Meningitis\n""'}",Fat embolism,A,,"['1. An 80-year-old woman underwent a bipolar prosthesis for a displaced femoral neck fracture of the left hip acquired after a fall the day before.', '2. The surgery was uneventful, lasting 98 minutes, during which the patient maintained oxygen saturation readings of 96–100% on 8 L of oxygen.', '3. The patient has a history of hypertension, osteoporosis, and osteoarthritis of her right knee.', '4. Her medications include ramipril, naproxen, ranitidine, and a multivitamin.', '5. Shortly after the surgery, the patient suddenly develops dyspnea.', '6. She appears cyanotic, drowsy, and is oriented only to person.', '7. Her temperature is 38.6°C (101.5°F), pulse is 135/minute, respirations are 36/min, and blood pressure is 155/95 mm Hg.', '8. Pulse oximetry on room air shows an oxygen saturation of 81%.', '9. There are several scattered petechiae on the anterior chest wall.', '10. Laboratory studies show a hemoglobin concentration of 10.5 g/dL, a leukocyte count of 9,000/mm3, a platelet count of 145,000/mm3, and a creatine kinase of 190 U/L.', '11. An ECG shows sinus tachycardia.']","{'gender': 'Female', 'age': '80 years old', 'specialties': ['Internal Medicine'], 'subspecialties': ['Pulmonary Disease'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Orthopaedic Surgery'}",Internal Medicine
